winding_speed_rpm,wire_tension_N,wire_diameter_mm,num_turns,slot_width_mm,slot_depth_mm,insulation_thickness_mm,winding_temperature_C,spindle_torque_Nm,back_tension_N,tension_mean_N,tension_std_N,tension_peak_N,tension_slope_start,tension_area_Nmm,power_mean_W,power_std_W,power_peak_W,power_rms_W,power_energy_J,temp_max_C,temp_gradient_C_per_turn,temp_time_above_60s,tension_variability_ratio,tension_dynamic_range,power_per_turn_W,power_instability_idx,thermal_stress_idx,slot_density_idx,mech_load_idx,speed_tension_product,back_tension_ratio,log_power_per_turn_W,log_tension_variability_ratio,log_back_tension_ratio,log_tension_slope_start,log_slot_density_idx,log_power_std_W,log_tension_area_Nmm,log_temp_time_above_60s,log_thermal_stress_idx,material_Aluminum,material_Composite,material_Steel,slot_fill_factor_pct,winding_resistance_mOhm,insulation_integrity_score,process_stability_index,insulation_failure
424.7,18.96,1.0,47,6.13,19.15,0.035,26.0,1.186,5.17,18.388,1.4,23.13,5.8229,734.23,52.77,6.194,55.96,52.88,350.38,29.4,0.0703,0.0,0.07613660669259262,4.741999999999997,1.1227659335581717,0.11737729548271185,2.06682,0.31445498417852613,22.48656,8052.312,0.27267931051269456,0.7527199239618146,0.07337741157386553,0.24112437150963725,1.9202846014163406,0.27342211901641195,1.9732473452734323,6.600183375432035,0.0,1.1206411941369265,1,0,0,30.72,263.8,65.6,0.9448,0
770.4,15.72,0.71,82,5.23,29.57,0.078,42.6,2.934,7.1,14.302,0.849,18.951,6.9448,701.98,236.74,15.063,277.65,231.26,1511.85,53.2,0.1282,0.0,0.05936232279664923,4.649000000000001,2.8870731355234986,0.06362676326929644,6.820240000000001,0.2099265724712144,46.12248,12110.688,0.45165391528919113,1.357656467109466,0.057667144833447676,0.37270353764084807,2.0725176266070116,0.19055967385921962,2.7765184905756293,6.5553284419038365,0.0,2.0567152446233594,0,0,1,22.0,890.4,64.7,0.9574,0
639.2,11.19,1.12,115,5.15,19.97,0.032,64.6,2.517,5.04,10.786,1.497,12.623,3.169,1184.18,168.46,15.386,191.5,173.12,1818.51,70.3,0.0493,7.509,0.13879101253560056,1.8369999999999997,1.4648695524793953,0.0913332536428039,3.4657899999999997,1.1016368859835912,28.165229999999998,7152.648,0.45040210452170654,0.9021388862076918,0.12996718434248272,0.3718408314514577,1.42767619889866,0.7427165106167792,2.796427311719623,7.077649940767964,2.14112442686742,1.4964461303688263,1,0,0,82.0,517.7,57.0,0.9824,0
559.2,21.28,0.3,40,3.23,22.23,0.077,69.8,1.239,3.42,21.754,0.945,22.912,24.3951,220.09,72.57,2.592,93.81,72.95,311.45,74.4,0.1119,3.306,0.043440284846911606,1.1579999999999977,1.8142499546437512,0.03571723803614114,8.32536,0.03937770408790049,26.365920000000003,11899.776000000002,0.160714278161923,1.034695780136138,0.042523220068153206,0.14903557265383688,3.2345562420284835,0.038622172609680885,1.2787091504399533,5.398569858437128,1.4600093989421714,2.232737570682814,0,1,0,22.0,2595.2,47.7,0.991,1
293.6,18.69,1.12,96,4.81,17.94,0.08,32.8,4.428,6.62,18.953,1.287,22.918,5.5355,1733.17,136.15,8.94,175.65,138.34,2670.97,47.0,0.1461,0.0,0.06790481359653808,3.965,1.4182291518934464,0.06566287135025434,6.866700000000001,1.0960481658179695,82.75932,5487.384000000001,0.35420008805778014,0.8830355168889876,0.06569861072012076,0.303210939095089,1.8772488552434694,0.7400537460697478,2.2965670206684825,7.458284191750644,0.0,2.0626386606426133,1,0,0,82.0,417.3,57.9,0.8999,1
293.6,8.25,0.3,103,3.53,24.16,0.063,25.5,1.594,4.78,8.142,1.079,12.452,8.9415,213.67,49.02,5.723,58.19,48.15,1031.83,27.8,0.0215,0.0,0.13252270541357095,4.3100000000000005,0.47592232547648233,0.11674826363222636,0.5977,0.08536856379244347,13.150500000000001,2422.2000000000003,0.5793938691643796,0.3892830997776026,0.12444762710438038,0.45704114632401827,2.2967179147159986,0.08191961944207675,1.9055344834868997,5.3691019652659975,0.0,0.4685650950513888,0,0,1,22.0,6240.0,79.1,0.9196,0
234.9,23.22,0.5,67,5.58,19.21,0.079,68.5,1.049,1.55,23.207,1.112,28.079,15.3188,663.35,25.79,2.025,31.78,25.74,441.5,76.2,0.1131,5.248,0.04791657483015578,4.872,0.3849253673891736,0.07851880269411389,8.61822,0.12272784965062075,24.357779999999998,5454.378,0.06675279643614142,0.32564625182577217,0.04680397856057167,0.06461926453661777,2.7923178174207766,0.11576130413433612,1.1069110914828049,6.4988091190373165,1.8322614125373848,2.2636592163722025,0,1,0,22.0,1568.3,43.5,0.9973,0
719.7,21.45,0.3,76,4.79,18.1,0.054,42.6,3.001,4.96,21.106,1.506,25.666,23.6267,409.85,226.17,12.645,278.48,228.83,1433.01,44.9,0.0296,0.0,0.0713541139318623,4.559999999999999,2.9759210134747236,0.055909271539508906,1.32904,0.06196292201381358,64.37145,15437.565,0.23123542045522516,1.3802564227707228,0.06892337540855975,0.2080180721794139,3.2038312202083046,0.06011900885227064,2.6133731541603016,6.018228184377197,0.0,0.8454561655078325,0,0,1,22.0,4790.5,58.9,0.9914,0
560.7,24.0,1.0,86,5.38,22.75,0.036,50.7,3.534,7.36,24.098,0.784,27.501,7.8909,1761.12,207.48,8.47,269.34,205.51,1909.51,59.0,0.0952,1.638,0.03253381888398129,3.4030000000000022,2.4125581114818826,0.040823211679086126,5.6168000000000005,0.5518545814806648,84.816,13456.800000000001,0.3066666538888894,1.227462189371766,0.0320157996836903,0.2674793553553503,2.185028281746991,0.4394507198715704,2.248128907197987,7.474272908603911,0.9700210542951229,1.8896118693955597,1,0,0,55.66,464.5,46.8,0.9904,1
624.8,19.51,0.71,115,3.15,15.08,0.046,73.3,0.92,3.77,19.897,1.978,23.018,9.4704,1379.14,60.2,5.618,70.89,58.39,664.79,81.8,0.0734,10.851,0.09941196665768877,3.121000000000002,0.5234782563175804,0.09332225758600901,6.00412,0.9585008772450486,17.9492,12189.848,0.19323422894750233,0.4209960471511514,0.09477546110202018,0.17666745992777777,2.3485522285461813,0.6721793220404465,1.8897932094994205,7.229940222280983,2.4724122522063117,1.9464985473436551,1,0,0,82.0,1282.9,46.1,0.9945,1
