feature,mean_abs_shap,target,rank
log_slot_density_idx,9.208390231210352,slot_fill_factor_pct,1
slot_density_idx,8.829618408899849,slot_fill_factor_pct,2
tension_mean_N,0.1166673219232721,slot_fill_factor_pct,3
log_tension_slope_start,0.10612569980895309,slot_fill_factor_pct,4
wire_tension_N,0.0999760836327712,slot_fill_factor_pct,5
slot_depth_mm,0.09154336200593335,slot_fill_factor_pct,6
tension_slope_start,0.09048687619642418,slot_fill_factor_pct,7
tension_peak_N,0.08487077079763114,slot_fill_factor_pct,8
winding_speed_rpm,0.05630983991086777,slot_fill_factor_pct,9
mech_load_idx,0.05185054129631549,slot_fill_factor_pct,10
tension_area_Nmm,0.04953038593021484,slot_fill_factor_pct,11
log_tension_area_Nmm,0.04794761753377032,slot_fill_factor_pct,12
back_tension_N,0.04193073992485061,slot_fill_factor_pct,13
tension_variability_ratio,0.040694931564352894,slot_fill_factor_pct,14
back_tension_ratio,0.031863652554604986,slot_fill_factor_pct,15
log_tension_variability_ratio,0.029895217441149362,slot_fill_factor_pct,16
slot_width_mm,0.027297669452830537,slot_fill_factor_pct,17
log_back_tension_ratio,0.023511358178271758,slot_fill_factor_pct,18
insulation_thickness_mm,0.020606144045574943,slot_fill_factor_pct,19
power_instability_idx,0.019378803808961377,slot_fill_factor_pct,20
speed_tension_product,0.01844397068687217,slot_fill_factor_pct,21
tension_dynamic_range,0.017319963024060588,slot_fill_factor_pct,22
num_turns,0.016687240052841817,slot_fill_factor_pct,23
power_energy_J,0.015253742554337197,slot_fill_factor_pct,24
tension_std_N,0.014628255545103795,slot_fill_factor_pct,25
wire_diameter_mm,0.014588938306413618,slot_fill_factor_pct,26
winding_temperature_C,0.012171244237258128,slot_fill_factor_pct,27
spindle_torque_Nm,0.011793248148586498,slot_fill_factor_pct,28
temp_max_C,0.011498641215216822,slot_fill_factor_pct,29
power_peak_W,0.010711433753576305,slot_fill_factor_pct,30
log_power_std_W,0.010441268032662104,slot_fill_factor_pct,31
temp_gradient_C_per_turn,0.009990751482788942,slot_fill_factor_pct,32
log_power_per_turn_W,0.009461114507154414,slot_fill_factor_pct,33
power_std_W,0.007425943483595703,slot_fill_factor_pct,34
temp_time_above_60s,0.006888798057671686,slot_fill_factor_pct,35
power_rms_W,0.0068562276319075995,slot_fill_factor_pct,36
power_per_turn_W,0.006520843949042413,slot_fill_factor_pct,37
power_mean_W,0.006306724210437996,slot_fill_factor_pct,38
log_thermal_stress_idx,0.005820418592392423,slot_fill_factor_pct,39
thermal_stress_idx,0.005809949191616845,slot_fill_factor_pct,40
log_temp_time_above_60s,0.005797453707247437,slot_fill_factor_pct,41
